Rank,TEAM,Pace,Assist Ratio,Turnover Ratio,Offensive Rebound Ratio,Defensive Rebound Ratio,Rebound Rate,Effective Field Goal Percentage,Shooting Percentage,Offensive Rating,Defensive Rating,Rating
5,Denver,100.7,18.3,13.2,27.3,78.7,53.2,53,56.8,110,110.5,110.25
3,Cleveland,98.4,17.2,12.6,21.9,75.8,49.7,54.7,58,110.9,108,109.45
2,Houston,102.5,18.1,13.3,24.6,75.8,50.2,54.5,58.3,111.8,106.4,109.1
10,Minnesota,97.1,17.8,12.9,27.2,75.9,51.2,51.1,55.5,108.1,109.1,108.6
4,LA Clippers,98.2,17.3,12.1,21.5,76.9,49.9,53.7,57.4,110.3,105.8,108.05
11,Portland,99.1,16.1,12.5,23,76.8,49.8,52,55.9,107.8,107.8,107.8
9,Washington,99.7,17.7,12.8,24.1,75.5,49.9,52.8,56.4,108.5,106.9,107.7
6,Toronto,97.1,14.6,11.8,25,76.3,50.7,51.7,56.1,109.8,104.9,107.35
1,Golden State,102.2,21.4,13.2,22.8,74.9,50.5,56.3,59.7,113.2,101.1,107.15
8,Boston,99.3,18.9,12.2,21.2,75.3,48.5,52.5,56.7,108.6,105.5,107.05
24,LA Lakers,100.8,15.7,13.5,25,75.8,49.5,50.1,53.7,103.4,110.6,107
20,Sacramento,97.1,17.4,13.7,21,76.3,48.9,51.6,55.6,104.6,109.1,106.85
18,New York,98.6,16.3,12.5,26.6,74.1,50.3,49.6,53.4,104.7,108.8,106.75
13,Milwaukee,96.7,18.6,13.2,21.5,75.4,48.7,52.8,56.5,106.9,106.4,106.65
22,Phoenix,102.9,14.5,13.3,26,76.4,50.5,49.3,53.8,103.9,109.3,106.6
14,Charlotte,97.8,17.7,10.7,19.9,79.6,49.5,50.1,54.7,106.4,106.1,106.25
15,Indiana,98.1,17.2,12.8,21.2,75.5,48.7,51.6,55.8,106.2,106.3,106.25
12,Utah,93.6,16.3,13.2,23.2,78.9,51.8,52.6,56.3,107.4,102.7,105.05
17,Oklahoma City,100.5,15.6,13.2,28,79,53.4,50,54,105,105.1,105.05
23,Dallas,94.2,16.9,11.6,18.1,77.6,46.4,50.5,54.1,103.7,106.3,105
28,Brooklyn,103.6,16,14.7,19.6,76.1,48.2,50.7,55.1,101.9,108,104.95
7,San Antonio,96.4,18.2,12.6,24,77.6,51.4,52.4,56.4,108.8,100.9,104.85
16,Miami,97.6,16.3,12.4,24.2,76.4,50,51.2,54.1,105.2,104.1,104.65
29,Orlando,99.1,16.8,12.1,21.6,77.4,48.7,48.9,52.4,101.2,108.1,104.65
,Memphis,94.7,16.6,12.1,24.8,77.5,50.4,49.1,53.5,104.7,104.5,104.6
,Chicago,97.7,17,12.3,27,76.8,51.7,48.7,53,104.6,104.5,104.55
25,Detroit,97.1,16.2,10.9,24.1,81.2,51.6,49.2,52.1,103.3,105.3,104.3
,New Orleans,100.1,17.2,11.7,18.5,76.8,47.5,50.4,53.9,103.3,104.9,104.1
30,Philadelphia,100.9,17.6,14.9,22.4,75.3,48.8,50.1,54,100.7,106.4,103.55
27,Atlanta,99.8,17.5,14.2,23.6,76.1,50.3,50.4,54.1,102.3,103.1,102.7
