,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
67100,HOU,67,12/03/18,Home,SAS,W,109,93,39,80,0.488,13,44,0.295,18,23,0.783,9,50,24,6,4,15,24,33,81,0.407,11,28,0.393,16,23,0.696,7,36,20,5,2,13,17
67104,MEM,67,12/03/18,Home,MIL,L,103,121,42,89,0.472,9,27,0.333,10,19,0.526,10,31,27,6,5,9,23,47,81,0.58,12,25,0.48,15,22,0.682,11,47,33,6,5,18,22
68105,MIA,68,12/03/18,Away,POR,L,99,115,39,91,0.429,10,31,0.323,11,16,0.688,10,46,24,6,4,11,24,38,83,0.458,14,36,0.389,25,30,0.833,9,50,23,5,6,12,15
67106,MIL,67,12/03/18,Away,MEM,W,121,103,47,81,0.58,12,25,0.48,15,22,0.682,11,47,33,6,5,18,22,42,89,0.472,9,27,0.333,10,19,0.526,10,31,27,6,5,9,23
69110,OKC,69,12/03/18,Home,SAC,W,106,101,38,84,0.452,16,36,0.444,14,18,0.778,5,43,21,5,6,10,15,38,93,0.409,12,33,0.364,13,16,0.813,13,49,21,8,6,11,22
67114,POR,67,12/03/18,Home,MIA,W,115,99,38,83,0.458,14,36,0.389,25,30,0.833,9,50,23,5,6,12,15,39,91,0.429,10,31,0.323,11,16,0.688,10,46,24,6,4,11,24
68115,SAC,68,12/03/18,Away,OKC,L,101,106,38,93,0.409,12,33,0.364,13,16,0.813,13,49,21,8,6,11,22,38,84,0.452,16,36,0.444,14,18,0.778,5,43,21,5,6,10,15
67116,SAS,67,12/03/18,Away,HOU,L,93,109,33,81,0.407,11,28,0.393,16,23,0.696,7,36,20,5,2,13,17,39,80,0.488,13,44,0.295,18,23,0.783,9,50,24,6,4,15,24
5892,BRK,58,12/02/18,Home,LAC,L,101,114,41,89,0.461,12,40,0.3,7,10,0.7,10,37,27,10,6,12,15,48,85,0.565,6,16,0.375,12,14,0.857,8,43,19,8,6,15,14
5694,CHI,56,12/02/18,Home,ORL,W,105,101,40,88,0.455,9,32,0.281,16,21,0.762,11,46,25,6,3,11,13,37,84,0.44,10,31,0.323,17,19,0.895,7,39,24,8,7,9,18
5698,DET,56,12/02/18,Home,NOP,L,103,118,35,95,0.368,9,35,0.257,24,32,0.75,14,54,18,5,3,14,19,44,100,0.44,14,34,0.412,16,16,1,10,53,31,6,7,11,25
5799,GSW,57,12/02/18,Home,PHO,W,129,83,52,89,0.584,11,26,0.423,14,21,0.667,7,49,36,8,16,11,18,33,95,0.347,3,23,0.13,14,22,0.636,15,47,13,2,3,15,17
55102,LAC,55,12/02/18,Away,BRK,W,114,101,48,85,0.565,6,16,0.375,12,14,0.857,8,43,19,8,6,15,14,41,89,0.461,12,40,0.3,7,10,0.7,10,37,27,10,6,12,15
56108,NOP,56,12/02/18,Away,DET,W,118,103,44,100,0.44,14,34,0.412,16,16,1,10,53,31,6,7,11,25,35,95,0.368,9,35,0.257,24,32,0.75,14,54,18,5,3,14,19
58109,NYK,58,12/02/18,Away,PHI,L,92,108,31,79,0.392,6,24,0.25,24,28,0.857,7,33,16,5,4,19,22,41,75,0.547,10,19,0.526,16,24,0.667,7,37,27,13,6,17,22
56111,ORL,56,12/02/18,Away,CHI,L,101,105,37,84,0.44,10,31,0.323,17,19,0.895,7,39,24,8,7,9,18,40,88,0.455,9,32,0.281,16,21,0.762,11,46,25,6,3,11,13
54112,PHI,54,12/02/18,Home,NYK,W,108,92,41,75,0.547,10,19,0.526,16,24,0.667,7,37,27,13,6,17,22,31,79,0.392,6,24,0.25,24,28,0.857,7,33,16,5,4,19,22
58113,PHO,58,12/02/18,Away,GSW,L,83,129,33,95,0.347,3,23,0.13,14,22,0.636,15,47,13,2,3,15,17,52,89,0.584,11,26,0.423,14,21,0.667,7,49,36,8,16,11,18
58116,SAS,58,12/02/18,Away,UTA,L,99,101,38,85,0.447,6,25,0.24,17,25,0.68,8,44,23,5,8,11,24,35,84,0.417,11,24,0.458,20,30,0.667,9,43,15,7,5,9,24
