,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
8260,ATL,82,2017-04-12,Away,IND,L,86,104,30,72,0.417,11,29,0.379,15,19,0.789,8,37,19,5,4,18,15,39,82,0.476,10,24,0.417,16,19,0.842,8,41,21,5,7,10,14
8261,BOS,82,2017-04-12,Home,MIL,W,112,94,41,91,0.451,12,37,0.324,18,26,0.692,11,46,31,12,3,8,17,37,84,0.44,6,23,0.261,14,17,0.824,9,43,26,6,9,17,20
8262,BRK,82,2017-04-12,Away,CHI,L,73,112,28,86,0.326,3,33,0.091,14,18,0.778,10,48,17,8,3,18,16,41,95,0.432,14,30,0.467,16,21,0.762,14,62,28,15,4,12,18
8264,CHI,82,2017-04-12,Home,BRK,W,112,73,41,95,0.432,14,30,0.467,16,21,0.762,14,62,28,15,4,12,18,28,86,0.326,3,33,0.091,14,18,0.778,10,48,17,8,3,18,16
8265,CLE,82,2017-04-12,Home,TOR,L,83,98,28,76,0.368,10,37,0.27,17,24,0.708,10,42,20,5,7,15,14,40,86,0.465,8,26,0.308,10,16,0.625,12,48,20,8,2,8,20
8266,DAL,82,2017-04-12,Away,MEM,W,100,93,33,75,0.44,9,34,0.265,25,31,0.806,8,37,21,9,5,12,19,33,84,0.393,8,25,0.32,19,22,0.864,16,48,18,4,5,14,23
8267,DEN,82,2017-04-12,Away,OKC,W,111,105,39,85,0.459,7,25,0.28,26,32,0.813,5,43,22,6,8,15,17,43,101,0.426,8,25,0.32,11,17,0.647,14,51,20,10,8,12,24
8268,DET,82,2017-04-12,Away,ORL,L,109,113,41,106,0.387,11,36,0.306,16,28,0.571,17,53,20,6,3,8,15,42,87,0.483,13,25,0.52,16,17,0.941,6,51,27,7,6,11,22
8269,GSW,82,2017-04-12,Home,LAL,W,109,94,41,90,0.456,12,36,0.333,15,22,0.682,14,54,26,14,8,20,17,41,93,0.441,4,17,0.235,8,14,0.571,11,40,23,13,2,18,22
8270,HOU,82,2017-04-12,Home,MIN,W,123,118,45,97,0.464,19,56,0.339,14,22,0.636,16,47,37,11,7,10,14,48,91,0.527,11,23,0.478,11,15,0.733,10,49,37,7,3,15,15
