Rank (Hollinger's),TEAM,Pace,Assist Ratio,Turnover Ratio,Offensive Rebound Ratio,Defensive Rebound Ratio,Rebound Rate,Effective Field Goal Percentage,Shooting Percentage,Offensive Rating,Defensive Rating,Rating
1,Golden State,105,21.2,13.5,24.3,77.9,53.4,59.5,62.7,118.8,104.8,111.8
8,New Orleans,107.6,18,12.1,24.9,78.8,51.4,53.2,56.9,110.6,111.9,111.25
18,Cleveland,101.2,15.4,12.9,27.3,76,49.8,49,53.8,104.9,116.4,110.65
14,Minnesota,105.5,16.5,11.1,24.8,69.3,46.7,49.9,54.6,107.8,112.3,110.05
9,LA Lakers,108.3,17.6,12.8,22.2,73.4,48.4,55.2,57.5,109.6,109.6,109.6
2,Charlotte,102.6,18.1,11.1,23.6,77.9,50.6,53.6,57.4,112.5,105.5,109
16,Brooklyn,100.8,17.9,14.7,23.8,71.5,48.6,53.8,56.4,105.9,111.4,108.65
6,Sacramento,108.9,17.8,12.9,21.7,76,49.1,56,58.2,110.8,106.2,108.5
22,Dallas,103.8,16.9,14.3,24.3,80.2,50.7,52,55.2,104.2,112.5,108.35
4,Portland,104.3,15.1,12.8,24.7,76,52.2,53.1,57.9,111.5,105.2,108.35
7,San Antonio,101.1,17.9,10.2,23.7,80.2,50.5,51.3,55.5,110.7,106,108.35
25,Washington,107.3,15.8,13,17.5,71,43.7,50.5,55.2,103.2,113.5,108.35
21,Chicago,101.8,17.8,13.5,18.2,74.2,46.7,52.5,56,104.4,111.6,108
3,Toronto,104.7,18.6,12.2,23.4,73.7,50,54.8,58,111.9,102.3,107.1
13,Utah,102.2,17.2,13.9,23.2,79.8,51.5,53.2,57.2,107.9,106,106.95
29,Phoenix,102.7,18,16.1,20.1,81.3,49.5,51.3,54.9,100,113.8,106.9
15,Miami,105.2,15.8,13.5,28.2,79,53.4,51,54.7,106.2,107.5,106.85
20,New York,101.6,15.1,12.1,24.2,75.7,48.7,50.1,53.7,104.5,109.2,106.85
10,LA Clippers,106.3,15.7,14.1,21.8,76.5,51.2,52.9,58.3,108.9,103.4,106.15
24,Houston,102.8,15.6,12.2,24.2,78,48.1,49.9,52.8,103.3,109,106.15
11,Indiana,99.4,17.6,12.6,21.7,75.5,49.3,54.7,57,108.5,103.4,105.95
28,Atlanta,109.5,17.8,16,19.5,75.8,47.6,52.6,55.7,101.5,109.5,105.5
5,Milwaukee,107.6,18.2,14.3,22.6,80.1,54.8,56.1,59.3,111,98.1,104.55
26,Detroit,103.6,13.6,12.3,24.3,82.4,51.8,48.2,52.6,102.5,106.1,104.3
12,Denver,101.2,18,12.3,27.5,79.9,54.3,51.4,55.1,108,100.4,104.2
17,Philadelphia,107.6,18.5,12.9,22.3,80.6,51.9,50.2,54.9,105.1,101.9,103.5
23,Oklahoma City,107.7,15.4,12.1,27.2,76.8,51.1,49.3,52.8,104,102.9,103.45
19,Memphis,99.1,18,12.4,17.5,76.5,46.8,51.2,55.7,104.8,101.5,103.15
30,Orlando,102.8,17.6,11.7,21.7,76.5,47.1,46.5,49.5,96.8,109.2,103
27,Boston,102.6,17.5,12.3,20.9,79.7,49.9,49.7,52.9,102.2,96.5,99.35
