Team,,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,OffRebounds,FreeThrows.,TotalRebounds,Assists,Steals,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
ATL,,102.9756098,102.2926829,38.23780488,84.00609756,0.456423781,9.99695122,27.92378049,0.359146342,16.50304878,21.54268293,9.079268293,0.766920732,42.21646341,24.67987805,8.539634146,8.539634146,4.911585366,14.55182927,18.67073171,38.2652439,85.7804878,0.447204268,9.881097561,27.86890244,0.352527439,15.88109756,20.75,11.00304878,44.56097561,23.76219512,8.408536585,5.158536585,15.05487805,19.93902439
BOS,,104.777439,102.3810976,38.77439024,86.83536585,0.447676829,10.06402439,28.64939024,0.35035061,17.16463415,21.97256098,10.27743902,0.781823171,43.79573171,24.08841463,8.070121951,8.070121951,4.134146341,13.17378049,20.84756098,37.90853659,85.13414634,0.446158537,8.396341463,24.99695122,0.334478659,18.16768293,23.88719512,10.66768293,44.76219512,21.67073171,7.384146341,5.091463415,14.33536585,19.81097561
BRK,,102.2591463,107.4359756,37.93597561,84.83231707,0.448454268,9.115853659,26.3902439,0.342182927,17.27134146,22.51829268,9.823170732,0.766670732,43.27134146,22.08231707,7.036585366,7.036585366,4.417682927,14.4695122,19.72256098,40.63109756,87.43902439,0.46602439,9.231707317,25.26219512,0.366429878,16.94207317,22.33536585,10.76829268,45.41463415,23.23170732,8.454268293,5.210365854,12.85670732,19.625
CHI,,102.0579268,103.3292683,38.125,86.56707317,0.441728659,8.612804878,24.2652439,0.352560976,17.19512195,21.9847561,11.14329268,0.779353659,45.75,22.63719512,6.945121951,6.945121951,4.963414634,13.19512195,18.49695122,39.4054878,87.36585366,0.452030488,8.87195122,25.27134146,0.346862805,15.64634146,20.58231707,10.56707317,44.55182927,23.07012195,7.49695122,5.213414634,12.20731707,19.01829268
CHO,,102.6676829,102.6676829,37.31402439,85.24390244,0.43832622,9.204268293,26.08536585,0.346362805,18.83536585,24.32012195,9.451219512,0.776652439,44.25609756,21.625,6.780487805,6.780487805,5.027439024,11.57926829,17.53353659,38.79573171,85.74695122,0.453442073,9.911585366,27.25609756,0.358695122,15.16463415,19.50609756,8.774390244,44.22560976,23.64939024,6.509146341,5.31097561,12.64634146,20.88109756
CLE,,107.1646341,103.5182927,39.16463415,83.96341463,0.467231707,11.44512195,30.7804878,0.370185976,17.3902439,22.98170732,9.890243902,0.754045732,43.33841463,22.71036585,6.93597561,6.93597561,3.951219512,13.25,18.85670732,39.33536585,85.69512195,0.459768293,9.411585366,26.39939024,0.35175,15.43597561,20.47560976,10.24085366,42.5,24.01219512,7.448170732,4.326219512,12.625,20.61280488
DAL,,101.9359756,102.777439,37.85060976,84.5304878,0.448573171,10.31402439,29.22256098,0.35207622,15.92073171,20.48780488,8.908536585,0.777442073,41.29268293,22.01829268,7.362804878,7.362804878,3.945121951,11.97256098,19.46341463,38.1554878,83.07317073,0.460234756,9.591463415,26.4847561,0.359554878,16.875,22.3597561,10.1402439,45.54878049,22.26219512,7.161585366,4.036585366,14.19817073,20.63719512
DEN,,106.2682927,107.4329268,39.35060976,86.75914634,0.454506098,9.530487805,27.06097561,0.349795732,18.03658537,23.73170732,11.64939024,0.761088415,45.05182927,23.72256098,7.454268293,7.454268293,4.539634146,14.19512195,20.44207317,40.20121951,85.89634146,0.468466463,9.408536585,25.52743902,0.363804878,17.62195122,23.2652439,9.963414634,42.54573171,23.83841463,7.945121951,5.536585366,12.91768293,20.61585366
DET,,101.3902439,101.804878,38.50304878,87,0.443094512,9.024390244,25.85060976,0.345643293,15.3597561,21.76829268,11.61585366,0.710484756,45.1554878,21.2347561,7.31097561,7.31097561,4.006097561,12.43292683,18.57012195,38.5304878,83.95731707,0.460496951,8.859756098,24.67378049,0.359960366,15.88414634,20.42682927,9.18902439,43.32621951,23.5,7.021341463,4.554878049,13.14939024,19.21341463
GSW,,113.5487805,103.9329268,42.5,86.63414634,0.49177439,11.79268293,29.69512195,0.396716463,16.75609756,21.39329268,9.542682927,0.783344512,44.71341463,29.00609756,8.817073171,8.817073171,6.588414634,14.5945122,19.87804878,38.70731707,88.7347561,0.436481707,8.603658537,25.4695122,0.334969512,17.91463415,23.58536585,11.45121951,43.6097561,22.36890244,8.573170732,3.789634146,14.39329268,19.12195122
HOU,,109.5426829,105.0731707,38.42987805,84.56402439,0.45520122,12.95121951,36.55182927,0.354137195,19.73170732,26.76219512,10.72865854,0.740615854,43.64329268,22.79878049,9.045731707,9.045731707,4.820121951,14.71341463,20.80487805,39.36280488,86.16768293,0.457911585,9.298780488,26.95426829,0.344039634,17.04878049,22.49695122,10.7652439,43.64329268,23.11890244,8.432926829,4.917682927,14.89939024,21.10060976
IND,,102.5365854,101.75,38.73780488,84.82621951,0.457591463,8.307926829,22.93902439,0.359567073,16.75304878,21.56402439,9.856707317,0.777185976,43.35670732,21.83231707,8.036585366,8.036585366,4.618902439,13.42682927,19.88719512,37.67987805,84.16768293,0.448704268,9.112804878,26.32012195,0.343673781,17.27743902,22.64939024,10.34146341,43.61890244,21.57621951,7.588414634,4.838414634,14.11280488,19.94512195
LAC,,107.2195122,103.4207317,39.36890244,83.57621951,0.47225,9.884146341,26.92987805,0.365621951,18.59756098,25.73780488,9.37195122,0.726603659,42.8902439,23.12195122,7.890243902,7.890243902,4.844512195,12.67682927,20.60670732,37.98780488,85.01219512,0.447637195,9.030487805,25.91158537,0.346234756,18.41463415,24.21036585,10.80487805,44.08841463,23.01829268,7.335365854,3.731707317,13.60060976,22.09146341
LAL,,102.1097561,108.3170732,38.09756098,86.54878049,0.440585366,8.301829268,24.56097561,0.335155488,17.61280488,23.55487805,11.0945122,0.747743902,44.18597561,20.90853659,7.554878049,7.554878049,4.301829268,13.875,20.85060976,40.4695122,86.17987805,0.470737805,9.396341463,26.375,0.354310976,17.98170732,23.99085366,10.37804878,44.97560976,24.48170732,7.951219512,5.307926829,13.03353659,19.39939024
MEM,,99.30487805,100.4847561,36.92987805,83.12195122,0.445606707,7.475609756,21.6097561,0.341484756,17.9695122,22.99695122,10.48170732,0.780646342,41.87195122,21.29573171,8.201219512,8.201219512,4.381097561,13.12804878,21.61585366,36.00914634,79.8597561,0.451948171,9.594512195,26.67378049,0.356634146,18.87195122,24.86585366,9.868902439,42.55792683,21.05182927,7.365853659,5.256097561,14.41768293,20.65853659
MIA,,100.3292683,100.1829268,37.86890244,82.50304878,0.460118902,8.429878049,23.95731707,0.346960366,16.16158537,21.94512195,9.722560976,0.738356707,42.58231707,21.1554878,7.326219512,7.326219512,5.515243902,13.34146341,19.71341463,37.23170732,82.9695122,0.450253049,8.216463415,23.39634146,0.350621951,17.50304878,22.83841463,9.990853659,42.23170732,20.53658537,7.408536585,4.487804878,13.25,19.63414634
MIL,,101.7469512,102.8079268,38.61890244,82.26829268,0.470570122,7.387195122,20.57012195,0.359365854,17.12195122,22.41463415,9.588414634,0.762765244,40.99390244,23.52439024,8.68597561,8.68597561,5.356707317,14.27743902,21.10060976,37.61890244,82.81707317,0.455637195,9.408536585,26.47256098,0.354902439,18.16158537,23.72256098,10.79878049,42.75304878,23.64939024,7.868902439,4.862804878,15.00304878,19.69512195
MIN,,103.8140244,106.6158537,38.66158537,83.75914634,0.462304878,6.463414634,18.71341463,0.341240854,20.02743902,25.27134146,10.84146341,0.792222561,41.71341463,22.82926829,8.131097561,8.131097561,4.317073171,13.44817073,19.53658537,40.22256098,84.3445122,0.478164634,9.573170732,26.31097561,0.365246951,16.59756098,21.67682927,10.4847561,41.91768293,23.31707317,7.567073171,5.094512195,14.29573171,21.07012195
