,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
3560,ATL,35,2017-01-04,Away,ORL,W,111,92,44,81,0.543,10,19,0.526,13,18,0.722,3,39,27,12,3,12,12,37,86,0.43,9,28,0.321,9,10,0.9,10,40,19,9,6,17,17
3660,ATL,36,2017-01-05,Away,NOP,W,99,94,38,90,0.422,9,23,0.391,14,17,0.824,12,55,23,9,6,14,14,34,93,0.366,15,35,0.429,11,14,0.786,15,52,19,8,4,15,18
3760,ATL,37,2017-01-07,Away,DAL,W,97,82,30,74,0.405,11,22,0.5,26,32,0.813,6,47,19,8,1,10,15,32,82,0.39,9,36,0.25,9,10,0.9,6,41,18,7,3,14,25
3860,ATL,38,2017-01-10,Away,BRK,W,117,97,44,92,0.478,7,23,0.304,22,38,0.579,15,53,25,11,12,12,17,35,87,0.402,10,29,0.345,17,23,0.739,14,48,22,5,4,17,24
3960,ATL,39,2017-01-13,Home,BOS,L,101,103,36,84,0.429,11,30,0.367,18,21,0.857,12,43,22,5,5,12,17,36,83,0.434,17,44,0.386,14,19,0.737,9,43,22,7,3,12,16
4060,ATL,40,2017-01-15,Home,MIL,W,111,98,42,80,0.525,13,26,0.5,14,18,0.778,14,37,29,9,4,19,20,39,79,0.494,6,19,0.316,14,18,0.778,13,36,25,11,4,16,25
4199,ATL,41,2017-01-16,Away,NYK,W,108,107,40,87,0.46,12,32,0.375,16,23,0.696,8,36,26,11,3,10,15,42,85,0.494,8,26,0.308,15,23,0.652,15,53,21,8,3,18,22
4262,ATL,42,2017-01-18,Away,DET,L,95,118,30,78,0.385,6,25,0.24,29,37,0.784,8,32,22,1,4,12,21,45,91,0.495,10,25,0.4,18,28,0.643,18,60,27,6,0,12,29
4360,ATL,43,2017-01-20,Home,CHI,W,102,93,39,82,0.476,9,22,0.409,15,19,0.789,10,40,23,16,3,19,19,34,81,0.42,7,28,0.25,18,19,0.947,12,41,18,12,5,24,17
4460,ATL,44,2017-01-21,Home,PHI,W,110,93,45,91,0.495,7,20,0.35,13,23,0.565,11,47,24,8,5,13,18,33,78,0.423,12,29,0.414,15,18,0.833,7,39,27,8,6,22,19
4560,ATL,45,2017-01-23,Home,LAC,L,105,115,37,88,0.42,9,29,0.31,22,26,0.846,8,40,28,8,2,8,17,42,84,0.5,14,24,0.583,17,22,0.773,10,46,23,4,8,11,19
4660,ATL,46,2017-01-25,Away,CHI,W,119,114,43,83,0.518,17,30,0.567,16,19,0.842,6,39,29,5,5,13,20,43,94,0.457,8,27,0.296,20,26,0.769,12,41,18,6,5,6,16
4760,ATL,47,2017-01-27,Home,WAS,L,86,112,30,83,0.361,9,31,0.29,17,25,0.68,8,41,18,9,8,19,16,43,89,0.483,13,31,0.419,13,19,0.684,13,52,26,12,10,18,24
4860,ATL,48,2017-01-29,Home,NYK,W,142,139,52,119,0.437,10,31,0.323,28,40,0.7,17,64,36,4,2,14,24,51,128,0.398,18,51,0.353,19,23,0.826,15,63,32,9,11,12,39
4960,ATL,49,2017-02-01,Away,MIA,L,93,116,34,86,0.395,7,26,0.269,18,21,0.857,9,43,13,10,6,15,14,45,93,0.484,12,32,0.375,14,19,0.737,10,47,23,10,11,12,18
5060,ATL,50,2017-02-02,Away,HOU,W,113,108,44,85,0.518,8,30,0.267,17,23,0.739,8,56,26,8,5,20,20,35,93,0.376,13,51,0.255,25,33,0.758,7,37,19,11,4,9,20
5199,ATL,51,2017-02-04,Home,ORL,W,113,86,41,78,0.526,10,28,0.357,21,27,0.778,10,48,28,8,2,15,20,27,78,0.346,7,27,0.259,25,28,0.893,7,33,17,8,4,13,19
5262,ATL,52,2017-02-06,Home,UTA,L,95,120,33,74,0.446,6,17,0.353,23,32,0.719,7,30,16,6,3,12,18,49,80,0.613,10,26,0.385,12,18,0.667,9,44,31,9,7,12,23
5360,ATL,53,2017-02-08,Home,DEN,W,117,106,47,93,0.505,8,27,0.296,15,18,0.833,12,48,31,6,4,10,18,40,100,0.4,13,44,0.295,13,21,0.619,21,49,25,8,4,10,20
5460,ATL,54,2017-02-10,Away,SAC,L,107,108,36,71,0.507,11,30,0.367,24,31,0.774,3,37,19,6,5,16,17,38,80,0.475,18,36,0.5,14,21,0.667,8,39,27,12,2,18,27
5560,ATL,55,2017-02-13,Away,POR,W,109,104,32,83,0.386,8,28,0.286,37,48,0.771,7,52,20,9,11,9,23,37,103,0.359,16,42,0.381,14,25,0.56,22,66,22,4,4,14,34
5660,ATL,56,2017-02-15,Away,LAC,L,84,99,32,79,0.405,7,26,0.269,13,19,0.684,10,45,20,5,1,20,13,37,79,0.468,14,37,0.378,11,12,0.917,5,40,24,18,3,16,17
5760,ATL,57,2017-02-24,Home,MIA,L,90,108,30,79,0.38,6,20,0.3,24,36,0.667,8,45,14,7,6,10,12,40,99,0.404,17,37,0.459,11,13,0.846,15,54,30,7,5,12,27
5860,ATL,58,2017-02-25,Away,ORL,L,86,105,32,85,0.376,8,25,0.32,14,26,0.538,12,48,21,4,4,17,19,37,81,0.457,8,27,0.296,23,24,0.958,7,47,21,11,8,13,23
5960,ATL,59,2017-02-27,Away,BOS,W,114,98,46,95,0.484,6,25,0.24,16,20,0.8,13,55,22,10,10,14,19,34,87,0.391,10,34,0.294,20,25,0.8,9,40,21,9,7,18,20
6060,ATL,60,2017-03-01,Home,DAL,W,100,95,36,64,0.563,10,21,0.476,18,24,0.75,4,34,24,12,4,22,19,35,77,0.455,14,33,0.424,11,13,0.846,10,33,22,10,5,20,20
6199,ATL,61,2017-03-03,Home,CLE,L,130,135,49,91,0.538,10,26,0.385,22,30,0.733,11,43,30,7,4,12,15,47,86,0.547,25,46,0.543,16,20,0.8,5,33,31,7,5,14,24
6262,ATL,62,2017-03-05,Home,IND,L,96,97,34,77,0.442,9,27,0.333,19,31,0.613,11,44,21,12,1,14,19,35,78,0.449,15,33,0.455,12,21,0.571,9,44,24,6,4,15,22
6360,ATL,63,2017-03-06,Home,GSW,L,111,119,38,82,0.463,13,28,0.464,22,31,0.71,14,47,19,6,6,19,23,41,87,0.471,20,44,0.455,17,22,0.773,13,43,33,10,4,14,22
6460,ATL,64,2017-03-08,Home,BRK,W,110,105,41,95,0.432,4,20,0.2,24,32,0.75,11,47,19,12,7,15,22,37,80,0.463,11,33,0.333,20,25,0.8,5,40,28,7,11,22,25
6560,ATL,65,2017-03-10,Home,TOR,W,105,99,39,75,0.52,8,22,0.364,19,29,0.655,8,45,24,8,6,21,20,37,92,0.402,4,25,0.16,21,27,0.778,16,46,19,17,5,11,28
6660,ATL,66,2017-03-11,Away,MEM,W,107,90,36,72,0.5,15,30,0.5,20,26,0.769,6,46,22,9,6,18,23,34,90,0.378,5,29,0.172,17,23,0.739,13,41,22,11,3,13,21
6760,ATL,67,2017-03-13,Away,SAS,L,99,107,37,81,0.457,6,22,0.273,19,30,0.633,6,36,27,13,3,16,20,39,81,0.481,16,34,0.471,13,17,0.765,7,44,31,6,9,21,22
